title,answer,task
Два числа,"""сто"" - 100;  ""миллион"" - 1000000","Назовите два числа, у которых количество цифр равно количеству букв, составляющих название каждого из этих чисел.

"
Сколько мне лет?,"Ответ - 23 года. Разность между годами отца и сына равна 23 годам; следовательно, сыну надо иметь 23 года, чтобы отец был вдвое старше его.","Когда моему отцу был 31 год, мне было 8 лет, а теперь отец старше меня вдвое. Сколько мне лет теперь?

"
Лестничные ступеньки,"Для того, чтобы подняться на 4-й этаж, Лене необходимо пройти три лестничных пролета (60 ступенек). Чтобы подняться на 2-й этаж, Юле необходимо пройти всего лишь один лестничный пролет, то есть 20 ступенек.","Лена живет на четвертом этаже, при этом, поднимаясь к себе домой, она проходит по лестнице 60 ступенек. 
Юля живет в этом же подъезде на втором этаже. Сколько ступенек проходит Юля, поднимаясь к себе домой на второй этаж? 

"
Диаметр проволоки,"Необходимо плотно, виток к витку, намотать проволоку на карандаш (круглый, без граней), сделав тем самым не менее десяти витков (чем больше, тем точнее измерение); затем линейкой измерить в миллиметрах длину от первого до последнего витка, и полученную цифру разделить на количество сделанных витков.","Каким образом можно с максимальной точностью измерить диаметр тонкой проволоки, имея в наличии только измерительную линейку и карандаш?

"
Шум леса,"Шум ветра в лесу меняется в зависимости от породы деревьев. Сосны и ели разбивают ветер на вихри, следующие один за другим очень часто; при этом получается свистящий звук, имеющий очень высокий тон. В лиственном лесу постоянно стоит шум, потому что широкая поверхность листьев разбивает ветер на небольшие струйки. Листья, дрожа, трутся друг о друга, шелестят. Весной, когда листья молодые и нежные, шелест их мягок; грубеет он осенью, когда листья становятся более жесткими.","Как вы думаете, одинаково ли шумят хвойные и лиственные леса?

"
Два человека,Это отец и мать ребенка.,"Идут рядом два человека,один из них - отец сына другого. Как такое может быть?

"
Тиканье часов,"Загадочные перерывы в тиканье часов объясняются утомлением слуха. Наш слух притупляется на несколько секунд, и в эти промежутки мы не слышим тиканья. Спустя короткое время утомление проходит, и прежняя чуткость восстанавливается, тогда мы снова слышим ход часов. Затем наступает опять утомление, и т.д.","Положите свои карманные часы на стол, отойдите от них на несколько шагов и 
прислушайтесь к их тиканью. Если в комнате достаточно тихо, то вы услышите, что ваши часы идут словно с перерывами: 
то тикают короткое время, то на несколько секунд замолкают, то снова начинают идти и т.д. 
Чем можно объяснить такой неравномерный ход часов?

"
Зеленая земля,"Гренландию открыл примерно в 982 году скандинавский ярл Эрик Рыжий. Он стремился побудить людей селиться там и поэтому назвал страну Гренландией, так как это название могло привлечь их (на англ. greenland - ""зеленая земля"").","Гренландия - огромный остров, покрытый снегом и льдом. Почему человек, открывший этот 
остров, назвал его Гренландией, т.е. ""Зеленой землей""? 

"
Потерянные гайки,"Мальчик предложил отвернуть по одной гайке с каждого из трех колес и закрепить ими четвертое колесо. Сделав это, человек смог доехать до ближайшего гаража на прочно закрепленных колесах.","Меняя колесо своей машины, человек уронил все четыре гайки его крепления в решетку канализационного 
стока, откуда достать их было невозможно. Он уже решил, что застрял здесь, но проходивший мимо мальчик подсказал ему очень дельную мысль, которая 
позволила ему поехать дальше. В чем состояла его идея?

"
Огурец в бутылке,"В то время, когда на стебле появляется завязь огурца, необходимо ее поместить, не нарушая стебля в бутылку через горлышко, и в таком виде оставить огурец досозревать. Как известно огурцы созревают очень быстро, и через несколько дней огурец вырастет внутри бутылки.","Всем известно, что есть способ поместить в бутылку модель корабля. Но как сделать, чтобы в бутылке оказался целый спелый огурец, не повредив бутылку?

"
Сколько отверстий?,"Каждое перегибание листа будет удваивать количество отверстий. Следовательно, перегнув лист шесть раз и просверлив в нем два отверстия, получим в результате 128 отверстий на развернутом листе.","Лист бумаги прямоугольной формы перегнули пополам шесть раз. В средней части этого сложенного листа просверлили насквозь два отверстия. Сколько отверстий можно будет насчитать на листе после его разворачивания в исходное положение?

"
Взвешивание под водой,"Каждое тело, если погрузить его в воду, становится легче: оно ""теряет"" в своем весе столько, сколько весит вытесненная им вода. Булыжник весом в 2 кг занимает больший объем, чем 2-х килограммовая железная гиря, потому, что материал камня  легче железа. Значит, булыжник вытеснит больший объем воды, нежели гиря, и по закону Архимеда потеряет в воде больше веса, чем гиря. Следовательно, весы под водой наклонятся в сторону гири.","На обыкновенных чашечных весах лежат: на одной чашке - булыжник, весящий ровно 2 кг, на другой - железная гиря, весящая так же 2 кг. Весы осторожно опустили под воду. Остались ли чашки в равновесии?

"
Как повалить бетонную стену?,"Такая стена, при таком весе и заданных размерах, будет иметь толщину лишь около 2 сантиметров и легко может быть повалена рукой.","Предположим Вам надо повалить бетонную стену длиной в 20 метров, высотой в 3 метра и весом в 3 тонны. Как вы выполните эту задачу, если в вашем распоряжении нет абсолютно никаких инструментов?

"
Вес груза,На нуле.,"Человек прыгает со стула. В руках он держит весы, на чашке которых лежит груз 10 кг. 
На каком делении будет стоять стрелка весов во время падения?

"
Два кирпича,"Кирпичи начнут скользить одновременно. Ведь оба кирпича давят на доску с одинаковой силой, а значит, одинаковы и силы трения, которые приходится им преодолевать. Удельные силы трения, приходящиеся на каждый квадратный сантиметр площади соприкосновения кирпичей с доской, конечно, не равны. Но общие силы трения, действующие на кирпичи, равные произведению удельной силы трения на площадь поверхности соприкосновения, будут одинаковы.","На гладкую доску положили 2 кирпича — один плашмя, а другой на ребро. Кирпичи весят одинаково. Какой кирпич соскользнет первым, если наклонять доску? 

"
Отчего журчит ручей?,"Ручей журчит оттого, что струя воды при небольшом падении захватывает частицы воздуха и погружает их в воду, отчего образуются пузырьки. Лопаньем этих пузырьков и объясняется журчание ручья.","Все мы неоднократно слышали журчание ручья. Как Вы считаете, отчего он журчит?

"
Межрельсовый зазор,"Между стыками рельсов всегда оставляют пустые промежутки — зазоры. Делается это специально. Если зазоров не оставить и укладывать рельсы вплотную один к другому, железная дорога скоро придет в негодность. Дело в том, что все предметы при их нагревании раздаются во все стороны. Удлиняется и стальной рельс летом, когда его нагревает солнце. Если же не дать рельсам простора для удлинения, то, упираясь концами друг в друга с большой силой, они изогнутся вбок, вырвут удерживающие их костыли и исковеркают путь. В зимнюю пору происходит противоположное — сжатие рельса.","Для чего между рельсами, в местах их состыковки  оставляют зазоры?

"
Пострадавшие в ДТП,"Пользование ремнями безопасности уменьшило число погибающих при ДТП. Многие люди, которые без ремня безопасности погибли бы (и попали бы в морги), оставались в живых, но получали травмы, и им требовалось лечение. Поэтому число попадающих в больницу стало больше.","В больницу Сент-Джеймс направляли всех пострадавших в результате несчастных случаев в городе. 
Больше всего было водителей и пассажиров, пострадавших в ДТП. Чтобы уменьшить их число, городские власти сделали обязательным пользование 
ремнями безопасности. Водители и пассажиры стали пристегиваться этими ремнями, но число ДТП осталось неизменным, а число пострадавших в них 
людей, которые поступали в больницу, даже увеличилось. Почему?

"
Ночью,"За стеной громко храпел сосед, который потом проснулся от телефонного звонка.","Мужчина ночью долго ворочался в кровати и никак не мог заснуть...
Потом он взял телефон, набрал чей-то номер, прослушав несколько длинных гудков - положил трубку и спокойно заснул. Вопрос: почему он до этого не мог заснуть?

"
На аэростате,"Аэростат должен податься вниз, так как, взбираясь по тросу вверх, человек отталкивает его вместе с шаром в обратную сторону. Здесь происходит то же, что и при ходьбе человека по дну лодки: лодка подвигается при этом назад.","Аэростат свободно и неподвижно держится в воздухе. Из гондолы его вылез человек и начал по тросу взбираться вверх. Куда подвинется при этом аэростат: вверх или вниз?

"
Прилив,"Через два часа под водой будут те же 4 ступеньки, потому что во время прилива лестница поднимается вместе с пароходом.","С борта парохода был спущен стальной трап. Нижние 4 ступеньки трапа погружены в воду. Каждая ступенька имеет толщину в 5 см; расстояние между двумя соседними ступеньками составляет 30 см. Начался прилив, при котором уровень воды стал поднимается со скоростью 40 см в час. Как Вы считаете, сколько ступенек окажется под водой через 2 часа?

"
Спуск со скалы,"Разрезаем веревку на две части 25 и 50 метров. 25-ти метровую веревку одним концом привязываем к верхнему дереву, а на другом конце делаем узел с маленькой петлей, через которую до половины пропускаем 50-ти метровую веревку и слаживаем ее вдвое. По этим двум веревкам (одинарной 25-ти метровой и сложенной пополам 50-ти метровой) спускаемся на нижнее дерево, и за один конец вытягиваем из петли 50-ти метровую веревку, перевязываемся и спускаемся по ней на землю.","Вы находитесь на верху скалы высотой 100 метров. Из скалы растут два дерева, 
одно из которых растет вверху скалы у самого ее обрыва, второе - из стены скалы на высоте 50 метров на которое
при спуске можно сесть. У Вас есть веревка длиной 75 метров и нож, для того чтобы эту веревку разрезать.
Каким образом в данной ситуации можно осуществить спуск со скалы. Длину веревки, необходимую для завязывания узлов можно не
учитывать. 

"
Предсмертное сообщение,Покойный сам не мог перемотать пленку диктофона.,"Мужчину находят убитым в его кабинете. Тело мужчины наклонено над письменным столом, в руке зажат револьвер, на столе лежит диктофон.
Полицейские включают диктофон покойного и сразу слышат записанное на пленку сообщение: ""Я не могу больше жить. 
Жизнь больше не имеет для меня никакого смысла..."". После этого раздается выстрел.
Как Вы считаете, почему полицейские сразу поняли, что мужчина был убит?

"
Что в первую очередь?,"Человек не может одновременно спать и есть. Следовательно, срок в семь суток после сна и после еды наступит в разное время. Человек, прежде всего, должен сделать то, что он неделю назад делал раньше - спал или ел!","Предположим, что если человек не будет 7 суток есть или 7 суток спать, то он 
может умереть. Допустим, что человек неделю не ел и не спал. Что он должен сделать в первую очередь к концу седьмых суток чтобы
остаться в живых: поесть или поспать?

"
Крышка люка,"Крышка квадратного или прямоугольного люка может провалиться в люк, так как длина диагонали люка больше длины стороны крышки. Крышка же круглого люка провалиться не может, как ее ни поверни. Поэтому круглые люки удобнее и безопаснее квадратных.","Чтобы люди могли попасть в канализационные коллекторы или добраться до других подземных коммуникаций, используются люки.
В подавляющем большинстве случаев крышки люков имеют круглую форму, а не квадратную или прямоугольную. Почему?

"
Гороховый ряд,"Средний диаметр горошины составляет около 5 мм. В одном кубическом сантиметре сможет уместиться до 8 горошин, следовательно, в стакане на 200 грамм (200 куб. сантиметров) сможет уместиться 200х8=1600 горошин. Таким образом, длина ряда будет равна 5х1600=8000мм или 8 метров. Причем с уменьшением диаметра горошин, длина ряда буде увеличиваться!","Имеется обычный стакан вместимостью 200 грамм, полностью заполненный горохом. Теперь
представьте, что все эти горошины выложены вплотную одна к другой в один ряд. Как Вы считаете, 
какой примерно длины будет этот ряд? 

"
Переправа солдат,"Один мальчик высаживает другого на противоположном берегу и плывет к солдатам. Солдат садится в лодку и один переплывает на противоположный берег к мальчику, который обратно доставляет лодку к солдатам и своему товарищу. Оба мальчика снова плывут к противоположному берегу, на котором один из них высаживается, а другой возвращается к солдатам для переправы следующего солдата …","Отделение солдат вышло к берегу реки. На ее противоположный берег запланировано было перебраться через 
существующий мост, но в связи с ремонтом он оказался закрытым для перехода. Вблизи моста с лодки рыбачили двое мальчишек, которые с радостью согласились 
помочь солдатам в переправе. Однако их лодка была настолько мала, что могла удержать на плаву либо одного солдата, либо их самих. Но эта проблема сразу  
разрешилась, и солдаты благополучно осуществили переправу при помощи этой же лодки. Каким образом переправа осуществилась?

"
Магнит,"Магнит имеет у своих полюсов максимальное значение магнитного напряжения. В нашем случае максимальное значение магнитного напряжения будет наблюдаться на торцевых поверхностях цилиндра. По мере приближения к середине магнита магнетизм ослабевает, в самой же середине величина его равна нулю. Следовательно, если при ""Т"" образном соединении цилиндры слипаются между собой, то магнитом будет являться цилиндр, соприкасающийся своей торцевой частью. ","У Вас в руках находятся два абсолютно одинаковых на вид металлических цилиндра, 
один из которых является магнитом. Каким образом, без взаимодействия с другими предметами, можно определить - 
какой из цилиндров является магнитом?

"
Как отлить половину воды?,"Наклонив кастрюлю, необходимо отливать из нее воду до тех пор, пока не покажется кромка дна, а вернее сказать точка на дне кастрюли, в которой пересекутся (сойдутся) поверхности дна и стенки кастрюли с поверхностью воды.","В кастрюлю правильной цилиндрической формы налита до верху вода. Каким образом, не имея под рукой никаких мерок 
и приспособлений, отлить из кастрюли такое количество воды, чтобы в ней осталось половина ее содержимого?

"
Бумажный кипятильник,"Температура, при которой закипает вода, меньше температуры при которой загорается бумага. Вода, в том числе кипящая, не дает бумаге нагреться до температуры возгорания. Следовательно, вода закипит в бумажном стакане.","Возможно ли вскипятить воду на открытом пламени в бумажном стакане?

"
Двойное значение,"Когда мы смотрим на часы, которые показывают десять минут какого-либо часа.","В каком случае, смотря на цифру 2, мы говорим “десять”? 

"
Мерка для воды,Заполняем водой из реки 9-ти литровое и переливаем из него воду в 5-ти литровое (в 9-ти литровом остается 4 литра). Освобождаем 5-ти литровое ведро и переливаем в него 4 литра из 9-ти литрового. Еще раз заполняем водой из реки 9-ти литровое и из него доливаем в 5-ти литровое 1 литр воды (в 9-ти литровом остается 8 литров). Освобождаем 5-ти литровое и переливаем в него из 9-ти литрового 5 литра воды. В 9-ти литровом ведре останется 3 литра воды.,"Как при помощи 5-ти литрового и 9-ти литрового ведра набрать из реки 3 литра воды?

"
Куры - несушки,"Одна курица несет одно яйцо за три дня. За 12 дней одна курица снесет четыре яйца, следовательно, 12 кур за 12 дней снесут 12х4=48 яиц.","Три курицы за три дня несут три яйца. Сколько яиц снесут 12 таких же кур за 12 дней? 

"
Куда летит воздушный шар?,"Воздушный шар, вырвавшись из рук, уносится не к крайним границам атмосферы, а лишь до своего ""потолка"", до той высоты, где вследствие большой разреженности воздуха вес шара равен весу вытесняемого им воздуха. Но он не всегда достигает ""потолка"". Так как шар, поднимаясь, раздувается (из-за уменьшения наружного давления), то еще до достижения ""потолка"" он может лопнуть, распираемый изнутри.","Выпущенные из рук детские воздушные шары куда-то улетают. Куда? Как высоко могут они улететь?

"
Свидание,"Сергей опоздает на 5 минут, а Оля наоборот – прейдет на 5 минут раньше.","Сергей и Оля договорились встретиться на свидании у входа в парк ровно в 9 часов вечера. 
Но вот ведь незадача, и у Сергея и у Оли часы идут-то неверно! У Сергея часы отстают на 3 минуты, однако он считает наоборот, что они спешат на 2 минуты. 
У Оли часы спешат на 2 минуты, но она считает, что они отстают на 3 минуты. Как Вы думаете, кто из них опоздает на свидание? 

"
Искры на расческе,При расчесывании волос расческой могут возникать искры длиной в несколько миллиметров. Для возбуждения таких искр необходимо напряжение в несколько тысяч вольт; при таком же напряжении работают и мощные гидро- и турбогенераторы.,"При расчесывании сухих волос пластмассовой расческой возникают электрические искры между расческой и волосами.
Как Вы полагаете, каково напряжение этих искр?

"
Отправление поезда,"Это делается в том случае, если сцепки между вагонами стоящего на станции состава натянуты. Если паровоз станет тянуть состав в таком виде, ему придется сдвигать с места весь состав сразу; при тяжелом составе это ему не под силу. Другое дело, когда паровоз предварительно подал состав назад; сцепки тогда прослабляются, и приводится в движение вагон за вагоном последовательно, — это гораздо легче.","Многие из Вас когда-нибудь замечали, что перед тем, как двинуть состав поезда вперед, машинист нередко подает весь состав назад. Для чего это делается? 

"
Грязнуля,"Миша увидел, что у Пети грязное лицо и подумал, что у него также лицо грязное, Петя, увидев чистое лицо Миши, подумал что с его лицом также все в порядке.","Петя и Миша играли на грязном и темном чердаке дома. Потом они спустились вниз.
У Пети всё лицо было грязным, а лицо Миши чудом осталось чистым. Несмотря на это, только Миша отправился умываться.
Почему?

"
Два теплохода,50 км. (20+30).,"Два теплохода одновременно вышли из портов и с постоянной скоростью движутся во встречном направлении. Скорость одного теплохода 20 км/час, другого – 30 км/час. На каком расстоянии друг от друга они будут находиться ровно за один час до их встречи?

"
Миллион квадратных миллиметров,"В тот же день убедиться в этом мальчик не смог, потому что, считая даже круглые сутки без перерыва, он не сосчитал бы и половины от всех клеток, так как в сутках 86400 секунд, а сосчитать необходимо 1000000 клеток.","Многие знают, что один квадратный метр состоит из одного миллиона квадратных 
миллиметров (1000х1000=1000000). Но вот нашелся один мальчик, который никак не мог в это поверить. ""Никогда не поверю, 
что в этом листе бумаги уместиться миллион квадратных миллиметров, пока лично сам не сосчитаю все клетки!"" - говорил он, 
держа в руках квадратный метр специальной чертежной бумаги, уже расчерченной на миллиметровые клетки. И вот одним ранним 
утром он проснулся и принялся дотошно пересчитывать на бумаге клетки, добросовестно отмечая карандашом каждую из 
посчитанных клеток. Как Вы считаете - смог ли он в этот день убедиться в том, что квадратный метр действительно заключает 
в себе миллион квадратных миллиметров?  

"
Восход солнца,"Это возможно, если двигаться с определенной скоростью (на скоростном автомобиле или самолете) в направлении, противоположном направлению движению Земли. Чем ближе человек находиться к полюсу Земли, тем меньше требуется скорость, для того чтобы обогнать землю в ее движении. Человек может перегнать Землю даже пешком, находясь от полюса на расстоянии до 50 км. Идя на запад навстречу садящемуся Солнцу, он будет наблюдать своеобразный восход Солнца.","Может ли человек, находясь на Земле, увидеть Солнце восходящим с запада?

"
Делёж яблок,Один человек должен взять себе оставшееся пятое яблоко в месте с корзиной.,"В корзине лежит пять яблок. Каким образом разделить яблоки между пятью людьми, при условии, что в корзине после дележа должно остаться одно яблоко?

"
Пара носков,"Необходимо достать всего 3 носка. При этом возможны следующие варианты комбинаций. 1. Все три носка черного цвета. 2. Все носки белого цвета. 3. Один носок черного, два носка белого цвета. 4. Один носок белого, два носка черного цвета. То есть при любом варианте можно получить пару одного цвета.","В шкафу вперемешку лежат 15 носков черного цвета и 20 носков белого цвета. Какое минимальное количество носков 
необходимо достать (в полной темноте или просто не глядя), чтобы из них можно было получить пару одного цвета?

"
День Рождения,"Если нынешний день 1 января, а День Рождения у Пети 31 декабря. Позавчера (30 декабря) ему было еще 17 лет, вчера (31 декабря) исполнилось 18 лет, в нынешнем году исполнится 19 лет, а в следующем году - 20 лет.","Позавчера Пете было 17 лет. В следующем году ему будет 20 лет. Как такое может быть?

"
Скорость ступни,"При ходьбе каждая нога половину времени находится в движении, а половину стоит. Значит, ступня выбрасывается со скоростью вдвое большей, чем идет спортсмен, то есть 6 м/сек.","На соревнованиях по спортивной ходьбе один из участников на заданной дистанции достиг скорости 3 м/сек. С какой скоростью выбрасывал он при ходьбе ступню каждой ноги?

"
Провисающая веревка,"Как бы сильно веревка ни была натянута, она неизбежно будет провисать. Сила тяжести, вызывающая провисание, направлена отвесно, натяжение же веревки не имеет вертикального направления. Такие две силы ни при каких условиях не могут уравновеситься, то есть их равнодействующая не может равняться нулю. Эта равнодействующая и вызывает провисание веревки. Никаким усилием, как бы велико оно ни было, нельзя натянуть  веревку  строго  прямолинейно   (кроме  случая,  когда она направлена отвесно).","С какой силой надо натягивать веревку, чтобы она не провисала?

"
Часовые,"Хотя часовые смотрят в противоположные стороны, стоят они не спиной к спине, а лицами друг к другу.","У дороги на посту стоят два часовых. Один смотрит в одну сторону дороги, а другой - 
в противоположную, но при этом они видят друг друга. Как такое может быть? Варианты с отражениями и т.п. - исключены.  

"
Необыкновенная птица,"Необыкновенная птица, о которой идет речь, это клест. Пристрастие клестов к смолистым семенам хвойных деревьев отражается удивительным образом на их организме. Тело старой птицы так пропитывается смолою, что после смерти птицы оно долгое время не подвергается гниению. ""Известны случаи, — пишет профессор Кайгородов, — когда ""мумии"" старых клестов сохранялись в течение 15–20 лет без всяких признаков разложения"".","Не можете ли Вы назвать птицу, обитательницу наших лесов, которая иногда 
после смерти сохраняется в течение 15–20 лет в виде своего собственного чучела?

"
Бег или ходьба?,"Бег отличается от ходьбы не скоростью движения. При ходьбе наше тело все время соприкасается с землей какой-нибудь точкой ног. При беге же бывают моменты, когда тело наше совершенно отделяется от земли, не соприкасаясь с нею ни в одной точке.","Как Вы считаете - чем бег отличается от ходьбы?
 Прежде чем ответить на этот вопрос, вспомните, что бег может быть медленнее, нежели иная ходьба, и что бывает даже бег на месте.

"
Два взрыва,"Пар, так же как газ, обладает очень большой сжимаемостью; жидкости же, наоборот, чрезвычайно слабо сжимаемы; поэтому пар под сравнительно небольшим давлением (15 атмосфер), расширяясь, может совершить во много раз большую работу, чем жидкость, находящаяся под давлением 600 атмосфер.","Почему при взрыве парового котла, давление пара в котором составляет всего лишь 10–15 атмосфер, 
могут произойти большие разрушения, в то время как при разрыве цилиндра гидравлического пресса, давление в котором 
превышает несколько сотен атмосфер, значительных разрушений не происходит?

"
Воздух в колесе,Воздух внутри шины движется от места сжатия одновременно в обе стороны — вперед и назад.,"Колесо автомобиля катится вправо; обод его вертится по часовой стрелке. Вопрос состоит в следующем: в какую сторону перемещается при этом воздух внутри резиновой шины колеса?  

"
Волокна хлопка,"Длинные, легкие как пух волокна хлопка, служат для семечка хлопчатника своеобразным парашютом. Ветер, подхватывая эти волокна с прикрепленным на конце семенем, разносит их далеко вокруг.","Волокнами хлопка издавна пользуется человечество для своих нужд. А для какой цели тонкое шелковистое волокно хлопчатника служит самому растению?

"
